#Location	Time	Pollutant	Actual	Estimated	Power
St Johns Road	4	NOx	84	50.44352118	16
St Johns Road	4	NOx	84	50.19735902	17
St Johns Road	4	NOx	84	49.97365656	18
St Johns Road	4	NOx	84	49.7707166	19
St Johns Road	5	NOx	128	71.42857143	0
St Johns Road	5	NOx	128	78.4747267	1
St Johns Road	5	NOx	128	83.19829844	2
St Johns Road	5	NOx	128	84.89402084	3
St Johns Road	5	NOx	128	84.19952433	4
St Johns Road	5	NOx	128	82.12441408	5
St Johns Road	5	NOx	128	79.43066917	6
St Johns Road	5	NOx	128	76.55175719	7
St Johns Road	5	NOx	128	73.70041991	8
St Johns Road	5	NOx	128	70.97133737	9
St Johns Road	5	NOx	128	68.40241328	10
St Johns Road	5	NOx	128	66.00573545	11
St Johns Road	5	NOx	128	63.78200716	12
St Johns Road	5	NOx	128	61.72696138	13
St Johns Road	5	NOx	128	59.83411734	14
St Johns Road	5	NOx	128	58.09594183	15
St Johns Road	5	NOx	128	56.50434745	16
St Johns Road	5	NOx	128	55.05093211	17
St Johns Road	5	NOx	128	53.72712617	18
St Johns Road	5	NOx	128	52.52430926	19
St Johns Road	6	NOx	187	93.14285714	0
St Johns Road	6	NOx	187	102.6397832	1
St Johns Road	6	NOx	187	110.527539	2
St Johns Road	6	NOx	187	114.9478308	3
St Johns Road	6	NOx	187	115.9375217	4
St Johns Road	6	NOx	187	114.5107975	5
St Johns Road	6	NOx	187	111.6927117	6
St Johns Road	6	NOx	187	108.1933559	7
St Johns Road	6	NOx	187	104.4353958	8
St Johns Road	6	NOx	187	100.6543335	9
St Johns Road	6	NOx	187	96.9774349	10
St Johns Road	6	NOx	187	93.47182749	11
St Johns Road	6	NOx	187	90.17129589	12
St Johns Road	6	NOx	187	87.0907897	13
St Johns Road	6	NOx	187	84.2342946	14
St Johns Road	6	NOx	187	81.59919751	15
St Johns Road	6	NOx	187	79.1788008	16
St Johns Road	6	NOx	187	76.96384541	17
St Johns Road	6	NOx	187	74.9434882	18
St Johns Road	6	NOx	187	73.10596515	19
St Johns Road	7	NOx	348	224	0
St Johns Road	7	NOx	348	244.6877641	1
St Johns Road	7	NOx	348	260.856489	2
