#Location	Time	Pollutant	Actual	Estimated	Pass	Distance
St Johns Road	2	NO	7	13.93299699	20	65536
St Johns Road	2	NO	7	11.58891452	20	131072
St Johns Road	2	NO	7	9.936993344	20	262144
St Johns Road	2	NO	7	9.273571603	20	524288
St Johns Road	2	NO	7	0	21	1
St Johns Road	2	NO	7	16.42295253	21	1024
St Johns Road	2	NO	7	16.67696836	21	2048
St Johns Road	2	NO	7	16.67879638	21	4096
St Johns Road	2	NO	7	17.36511959	21	8192
St Johns Road	2	NO	7	17.47735978	21	16384
St Johns Road	2	NO	7	16.0499054	21	32768
St Johns Road	2	NO	7	14.00377141	21	65536
St Johns Road	2	NO	7	11.66373841	21	131072
St Johns Road	2	NO	7	9.972409027	21	262144
St Johns Road	2	NO	7	9.28158881	21	524288
St Johns Road	2	NO	7	0	22	1
St Johns Road	2	NO	7	16.42295253	22	1024
St Johns Road	2	NO	7	16.67696836	22	2048
St Johns Road	2	NO	7	16.67880496	22	4096
St Johns Road	2	NO	7	17.36698906	22	8192
St Johns Road	2	NO	7	17.5011019	22	16384
St Johns Road	2	NO	7	16.1072003	22	32768
St Johns Road	2	NO	7	14.06969516	22	65536
St Johns Road	2	NO	7	11.73601312	22	131072
St Johns Road	2	NO	7	10.00757792	22	262144
St Johns Road	2	NO	7	9.289983632	22	524288
St Johns Road	2	NO	7	0	23	1
St Johns Road	2	NO	7	16.42295253	23	1024
St Johns Road	2	NO	7	16.67696836	23	2048
St Johns Road	2	NO	7	16.67881086	23	4096
St Johns Road	2	NO	7	17.36858432	23	8192
St Johns Road	2	NO	7	17.5218228	23	16384
St Johns Road	2	NO	7	16.1618753	23	32768
St Johns Road	2	NO	7	14.13124687	23	65536
St Johns Road	2	NO	7	11.80585342	23	131072
St Johns Road	2	NO	7	10.04246301	23	262144
St Johns Road	2	NO	7	9.298717804	23	524288
St Johns Road	2	NO	7	0	24	1
St Johns Road	2	NO	7	16.42295253	24	1024
St Johns Road	2	NO	7	16.67696836	24	2048
St Johns Road	2	NO	7	16.67881491	24	4096
St Johns Road	2	NO	7	17.36995042	24	8192
St Johns Road	2	NO	7	17.53993137	24	16384
St Johns Road	2	NO	7	16.21413435	24	32768
St Johns Road	2	NO	7	14.18885207	24	65536
St Johns Road	2	NO	7	11.87336887	24	131072
St Johns Road	2	NO	7	10.07703504	24	262144
St Johns Road	2	NO	7	9.307756202	24	524288
St Johns Road	2	NO	7	0	25	1
St Johns Road	2	NO	7	16.42295253	25	1024
St Johns Road	2	NO	7	16.67696836	25	2048
St Johns Road	2	NO	7	16.67881769	25	4096
