#o3_ppb	temp	humid	time
2.09	4.3	76.2	2014-02-03T19:56:00
2.06	4.3	76.2	2014-02-03T19:55:00
2.17	4.3	76.2	2014-02-03T19:54:00
2	4.3	76.2	2014-02-03T19:53:00
2.22	4.3	76.4	2014-02-03T19:52:00
2.35	4.3	76.5	2014-02-03T19:51:00
2.05	4.3	76.5	2014-02-03T19:50:00
2	4.3	76.5	2014-02-03T19:49:00
1.9	4.3	76.5	2014-02-03T19:48:00
1.54	4.3	76.5	2014-02-03T19:47:00
1.2	4.3	76.5	2014-02-03T19:46:00
1.22	4.3	76.5	2014-02-03T19:45:00
1.23	4.3	76.5	2014-02-03T19:44:00
0.943	4.3	76.5	2014-02-03T19:43:00
1.03	4.3	76.5	2014-02-03T19:42:00
0.925	4.3	76.5	2014-02-03T19:41:00
0.855	4.3	76.5	2014-02-03T19:40:00
0.873	4.3	76.5	2014-02-03T19:39:00
0.792	4.3	76.5	2014-02-03T19:38:00
0.852	4.3	76.5	2014-02-03T19:37:00
0.88	4.3	76.5	2014-02-03T19:36:00
0.605	4.3	76.5	2014-02-03T19:35:00
0.365	4.3	76.5	2014-02-03T19:34:00
0.275	4.3	76.5	2014-02-03T19:33:00
0.207	4.24	77	2014-02-03T19:32:00
0.385	4.2	77.3	2014-02-03T19:31:00
0.64	4.2	77.3	2014-02-03T19:30:00
0.5	4.2	77.3	2014-02-03T19:29:00
0.66	4.2	77.3	2014-02-03T19:28:00
0.57	4.2	77.3	2014-02-03T19:27:00
0.662	4.2	77.3	2014-02-03T19:26:00
0.925	4.2	77.3	2014-02-03T19:25:00
0.9	4.2	77.3	2014-02-03T19:24:00
1.2	4.2	77.3	2014-02-03T19:23:00
1.59	4.39	76.6	2014-02-03T19:22:00
1.13	4.5	76.1	2014-02-03T19:21:00
1.1	4.5	76.1	2014-02-03T19:20:00
1.06	4.5	76.1	2014-02-03T19:19:00
1.15	4.5	76.1	2014-02-03T19:18:00
1	4.5	76.1	2014-02-03T19:17:00
1.15	4.5	76.1	2014-02-03T19:16:00
1.16	4.5	76.1	2014-02-03T19:15:00
0.992	4.5	76.1	2014-02-03T19:14:00
0.932	4.5	76.1	2014-02-03T19:13:00
0.85	4.5	75.5	2014-02-03T19:12:00
0.97	4.5	75.1	2014-02-03T19:11:00
0.787	4.5	75.1	2014-02-03T19:10:00
0.633	4.5	75.1	2014-02-03T19:09:00
0.663	4.5	75.1	2014-02-03T19:08:00
0.462	4.5	75.1	2014-02-03T19:07:00
0.298	4.5	75.1	2014-02-03T19:06:00
0.425	4.5	75.1	2014-02-03T19:05:00
0.325	4.5	75.1	2014-02-03T19:04:00
0.0817	4.5	75.1	2014-02-03T19:03:00
-0.0417	4.44	75.6	2014-02-03T19:02:00
0.01	4.4	75.9	2014-02-03T19:01:00
0.0117	4.4	75.9	2014-02-03T19:00:00
0	4.4	75.9	2014-02-03T18:59:00
0.133	4.4	75.9	2014-02-03T18:58:00
0.363	4.4	75.9	2014-02-03T18:57:00
0.413	4.4	75.9	2014-02-03T18:56:00
0.637	4.4	75.9	2014-02-03T18:55:00
0.503	4.4	75.9	2014-02-03T18:54:00
0.553	4.4	75.9	2014-02-03T18:53:00
0.483	4.46	75.7	2014-02-03T18:52:00
0.688	4.5	75.5	2014-02-03T18:51:00
0.848	4.5	75.5	2014-02-03T18:50:00
0.927	4.5	75.5	2014-02-03T18:49:00
0.955	4.5	75.5	2014-02-03T18:48:00
0.968	4.5	75.5	2014-02-03T18:47:00
0.9	4.5	75.5	2014-02-03T18:46:00
