#timestamp	ozone_ppb	temperature	humidity	latitude	longitude
1391252534.237	34.60967751	3	59	4722.18967	832.34833
1391252523.231	27.63175134	2	61	4722.64576	833.17417
1391252522.263	26.54864081	3	61	4722.44436	831.53734
1391252518.215	11.43508222	17	45	4722.41357	831.29215
1391252514.246	17.40265461	3	65	4722.78512	832.24838
1391252514.182	23.53925252	15	50	4723.7134	832.61874
1391252509.260	12.63126981	4	58	4724.88182	833.07844
1391252509.219	34.25153234	3	63	4723.59725	830.82487
1391252503.679	34.93584498	3	59	4722.18443	832.33248
1391252492.189	26.54864081	3	61	4722.45595	831.49459
1391252488.325	11.43508222	17	45	4722.41067	831.28921
1391252484.446	17.96105534	3	63	4722.79875	832.25258
1391252483.230	23.53925252	15	50	4723.71011	832.62437
1391252480.320	34.25153234	3	63	4723.54047	831.02576
1391252479.255	12.63126981	4	58	4724.88219	833.0805
1391252474.215	34.93584498	3	59	4722.15024	832.29217
1391252463.264	27.63175134	2	61	4722.64651	833.17378
1391252462.441	26.60915267	3	61	4722.46105	831.32311
1391252458.316	11.33190874	16	45	4722.40871	831.28692
1391252454.361	17.96105534	3	63	4722.83134	832.23033
1391252453.131	23.53925252	15	50	4723.70425	832.62285
1391252449.261	12.72600326	3	58	4724.92034	833.10392
1391252449.228	34.35194219	3	62	4723.51654	831.1036
1391252444.218	34.79637617	4	59	4722.08567	832.16948
1391252431.319	26.60915267	3	61	4722.47264	831.25436
1391252428.405	11.33190874	16	45	4722.40753	831.28439
1391252424.238	16.84425387	3	63	4722.92871	832.09749
1391252423.246	23.53925252	15	50	4723.70296	832.62625
1391252419.282	34.35194219	3	62	4723.47988	831.23257
1391252419.244	12.72600326	3	58	4725.06079	833.23443
1391252414.215	34.79637617	4	59	4722.07745	832.1458
1391252403.261	27.63175134	2	61	4722.6463	833.17365
1391252402.311	26.30659337	3	61	4722.4878	831.20387
1391252398.414	11.33190874	16	45	4722.40997	831.28521
1391252394.224	16.84425387	3	63	4722.93219	832.09014
1391252393.332	23.52901089	14	50	4723.70006	832.62815
1391252390.233	34.25153234	3	62	4723.43915	831.36827
1391252389.271	12.72600326	3	59	4725.08588	833.25703
1391252384.230	35.72069975	4	59	4722.03907	832.03624
1391252371.237	26.30659337	3	61	4722.5191	831.08699
1391252368.425	11.33190874	16	45	4722.41056	831.28926
1391252364.240	16.50921343	3	63	4723.01546	831.97962
1391252363.221	23.52901089	14	50	4723.70165	832.62405
1391252359.273	34.25153234	3	62	4723.41233	831.40735
1391252359.225	12.72600326	3	59	4725.22167	833.39577
1391252354.216	35.72069975	4	59	4721.98129	831.96543
1391252343.253	27.63175134	2	61	4722.64616	833.17292
1391252341.649	26.36710523	3	60	4722.52979	831.05593
1391252338.316	11.33190874	16	45	4722.41128	831.29211
1391252334.232	16.50921343	3	63	4723.07743	831.89421
1391252333.242	23.53925252	15	50	4723.70393	832.62295
1391252329.266	12.82318918	3	59	4725.20827	833.43103
1391252324.212	35.49886209	4	58	4721.91302	831.89436
1391252311.235	26.36710523	3	60	4722.53171	831.04873
1391252308.240	11.33190874	16	45	4722.40965	831.28715
1391252304.240	17.73769505	3	63	4723.07885	831.89465
1391252303.269	23.53925252	15	50	4723.71631	832.61856
1391252299.327	34.21806239	3	63	4723.38298	831.45305
1391252299.246	12.82318918	3	59	4725.10274	833.68284
1391252294.232	35.49886209	4	58	4721.87232	831.82698
1391252283.099	27.63175134	2	62	4722.64559	833.17293
1391252282.350	26.06454593	3	61	4722.54982	830.95787
1391252278.254	11.33190874	16	45	4722.40964	831.28249
1391252274.435	17.73769505	3	63	4723.11831	831.84192
1391252273.217	23.53925252	15	50	4723.72783	832.61983
1391252269.293	13.01756102	3	59	4725.07351	833.75277
1391252269.229	34.13438752	3	63	4723.30897	831.57012
1391252264.212	35.94253741	4	59	4721.86119	831.78971
1391252251.230	26.06454593	3	61	4722.60605	830.83024
1391252248.248	11.33190874	16	45	4722.41128	831.28104
1391252244.278	17.51433475	3	62	4723.20576	831.72339
1391252243.248	23.53925252	15	50	4723.71092	832.63544
1391252239.280	13.01756102	3	59	4725.02897	834.04679
1391252239.275	34.13438752	3	63	4723.26424	831.63972
1391252233.618	35.94253741	4	59	4721.7617	831.63124
1391252226.299	26.06454593	3	61	4722.62944	830.77619
1391252223.271	27.63175134	2	62	4722.64525	833.17383
1391252218.260	11.21583465	16	45	4722.40968	831.28443
1391252214.263	17.51433475	3	62	4723.23886	831.67228
1391252214.077	13.01756102	3	59	4725.0283	834.13152
1391252213.222	23.52901089	14	50	4723.7104	832.6327
1391252208.798	34.16785747	3	63	4723.20564	831.72875
1391252204.222	35.74721855	5	57	4721.74316	831.60975
1391252191.228	26.30659337	3	61	4722.68975	830.62029
1391252188.300	11.21583465	16	45	4722.40766	831.28351
1391252184.228	17.6260149	3	63	4723.3056	831.55794
1391252183.238	23.52901089	14	50	4723.7103	832.62937
1391252179.235	13.11474695	3	59	4725.00231	834.15952
1391252179.218	34.16785747	3	63	4723.15882	831.7907
1391252174.207	35.74721855	5	57	4721.65743	831.48944
1391252163.256	27.63175134	2	62	4722.64604	833.17395
1391252161.551	26.30659337	3	61	4722.6911	830.60896
1391252158.286	11.33190874	16	45	4722.40694	831.2831
1391252154.231	17.6260149	3	63	4723.34003	831.4965
1391252153.261	23.52901089	14	50	4723.70314	832.62603
1391252149.277	13.11474695	3	59	4725.00323	834.15998
1391252148.655	34.16785747	3	63	4723.07643	831.90094
1391252144.222	35.63405901	5	58	4721.58748	831.35798
1391252131.233	26.56391902	4	60	4722.6815	830.52967
1391252128.272	11.33190874	16	45	4722.40658	831.28309
1391252124.272	16.62089357	3	62	4723.40827	831.40092
1391252123.255	23.52901089	14	50	4723.70387	832.62836
1391252119.277	13.17659045	4	58	4725.00216	834.15878
1391252118.632	34.16785747	3	63	4723.07445	831.90388
1391252114.222	35.63405901	5	58	4721.58462	831.36022
1391252103.255	27.63175134	2	61	4722.64616	833.17269
1391252101.670	26.56391902	4	60	4722.66187	830.43551
1391252098.288	11.33190874	16	45	4722.40758	831.28193
1391252094.482	16.62089357	3	62	4723.42805	831.37437
1391252093.254	23.52901089	14	50	4723.70778	832.63262
1391252089.255	13.17659045	4	58	4725.00194	834.15832
