#timestamp.	ozone_ppb	temperature	humidity	latitude	longitude
1392421819.190	12.24007366	3	66	4723.87708	832.52113
1392421806.342	32.73541048	11	52	4723.48424	831.29703
1392421800.246	13.94389085	2	67	4723.47591	831.3497
1392421792.481	16.60654538	3	64	4722.63281	832.3625
1392421789.189	23.9035614	3	83	4722.41173	831.28944
1392421789.179	12.24007366	3	65	4723.8056	832.45639
1392421776.790	32.74433685	12	52	4723.48308	831.29974
1392421772.202	13.94389085	2	67	4723.48401	831.39989
1392421762.446	17.68053465	3	65	4722.6251	832.42234
1392421760.259	23.9035614	3	83	4722.40619	831.29077
1392421759.183	12.24007366	3	65	4723.74135	832.41223
1392421746.337	32.74433685	12	52	4723.48633	831.29866
1392421741.332	13.94389085	2	67	4723.49491	831.41322
1392421732.223	17.68053465	3	65	4722.62159	832.51234
1392421730.258	23.95257312	2	76	4722.39905	831.29762
1392421729.287	12.24007366	3	65	4723.65581	832.36563
1392421716.355	32.73541048	11	52	4723.48636	831.29571
1392421712.178	13.94389085	2	67	4723.49277	831.41554
1392421702.207	18.84402303	3	66	4722.61561	832.58172
1392421700.234	23.95257312	2	76	4722.38313	831.30957
1392421699.178	12.24007366	3	65	4723.52928	832.33161
1392421686.282	32.73541048	11	52	4723.48614	831.29308
1392421680.519	13.94389085	2	68	4723.45884	831.37903
1392421672.320	18.84402303	3	66	4722.60796	832.63157
1392421670.176	24.0427322	1	62	4722.35485	831.34742
1392421669.212	12.24007366	3	66	4723.49832	832.33188
1392421656.264	32.75435455	12	52	4723.49127	831.29473
1392421652.152	13.94389085	2	68	4723.44709	831.36564
1392421642.197	20.90250246	3	67	4722.58603	832.68551
1392421639.197	24.0427322	1	62	4722.33471	831.36442
1392421639.175	12.24007366	3	66	4723.42819	832.33804
1392421626.410	32.75435455	12	52	4723.4914	831.29399
1392421620.412	13.94389085	2	68	4723.4466	831.36623
1392421612.280	20.90250246	3	67	4722.45583	832.77495
1392421609.245	24.0644492	1	61	4722.31242	831.4153
1392421609.236	12.28866662	3	66	4723.2855	832.3566
1392421596.235	32.74433685	12	52	4723.48931	831.29382
1392421590.196	13.94389085	2	68	4723.44718	831.36544
1392421582.185	22.87148279	3	65	4722.36558	832.84891
1392421579.259	12.28866662	3	66	4723.25096	832.37549
1392421579.188	24.0644492	1	61	4722.31092	831.41408
1392421566.220	32.74433685	12	52	4723.48371	831.29448
1392421560.386	13.94389085	2	68	4723.44442	831.36144
1392421552.760	22.87148279	3	65	4722.29259	832.86994
1392421550.215	24.0644492	1	61	4722.31039	831.41334
1392421549.222	12.28866662	3	65	4723.063	832.40419
1392421536.216	32.74433685	12	52	4723.48251	831.29362
1392421530.152	13.94389085	2	68	4723.44589	831.32754
1392421522.204	26.54094613	3	65	4722.24077	832.9337
1392421519.353	24.0644492	1	61	4722.31514	831.41348
1392421519.181	12.28866662	3	65	4723.02582	832.43142
1392421506.232	32.74433685	12	52	4723.4889	831.29468
1392421501.292	13.83442212	2	66	4723.4348	831.32326
1392421492.629	26.54094613	3	65	4722.21949	833.02053
1392421489.180	12.28866662	3	66	4722.91258	832.50854
1392421489.171	24.0644492	1	61	4722.30324	831.43679
1392421476.552	32.74433685	12	52	4723.48861	831.29443
1392421470.182	13.83442212	2	66	4723.42597	831.2961
1392421463.171	28.95742198	3	65	4722.17385	833.2418
1392421459.264	12.28866662	3	66	4722.79117	832.56947
1392421459.222	24.0644492	1	61	4722.29902	831.44279
1392421446.199	32.74433685	12	52	4723.48866	831.29273
1392421440.232	13.94389085	2	67	4723.41076	831.29652
1392421432.233	28.95742198	3	65	4722.15822	833.37169
1392421429.204	24.08616621	1	61	4722.29802	831.44309
1392421429.163	12.24007366	3	65	4722.79932	832.55975
1392421416.261	32.74433685	12	52	4723.49033	831.29338
1392421410.172	13.94389085	2	67	4723.35654	831.31947
1392421402.453	29.58391572	3	65	4722.11558	833.52044
1392421399.186	12.24007366	3	65	4722.72435	832.57097
1392421399.184	24.08616621	1	61	4722.27609	831.44116
1392421386.206	32.74433685	12	52	4723.48925	831.29858
1392421380.268	14.16282831	2	66	4723.22161	831.2293
1392421372.193	29.58391572	3	65	4722.08289	833.62432
1392421369.210	24.08616621	1	61	4722.24368	831.35613
1392421369.173	12.24007366	3	65	4722.69659	832.49466
1392421356.227	32.74433685	12	52	4723.48359	831.29751
1392421351.215	14.16282831	2	66	4723.23295	831.19199
1392421342.187	29.13642019	3	64	4722.0371	833.66948
